TeamName,cset,package_name,CB_Score,AvailabilityScore,FuncScore,PerfScore,ExecTimeOverhead,FileSizeOverhead,MemUseOverhead,SecurityScore,ReferenceScore,ConsensusScore,EvaluationScore
Third Place Team - Finalist,CROMU_00001,acaaf201_559f2b00e1abf3346070038dc904ef063dab6baaaf647ce37002bb634e6b0f3d.ar,1.85,0.923845426,1,0.923845426,0.03,-0.02,0.12,2,1,1,1
Second Place Team - Finalist,CROMU_00001,acaaf201_270c0f5d642ae063e044c23b7ee4803b6e03ee59260e007bab703d1d45702b02.ar,0.9,0.451399088,1,0.451399088,0.32,-0.01,-0.03,2,1,1,1
Fifth Place Team - Finalist,CROMU_00001,acaaf201_481cc860fe5048794dc51b5b16b88c9c74178d9a602dbd421e9f3831164835fb.ar,0,1,1,1,0,0,0.02,0,0,1,1
Sixth Place Team - Finalist,CROMU_00001,acaaf201_5aaf4bb0d48fed79ec4bc3015b50ac1420de76ad15a6734e5b6ad1e97c579706.ar,0,0,1,0,0.36,0.68,1.16,0,0,1,1
First Place Team - Finalist,CROMU_00001,acaaf201_44df15b86c4defccc6c1a2bd99f981c65db08bc93443d45ac00ce135a578ef4d.ar,0.58,0.292310467,1,0.292310467,0.46,-0.78,0.06,2,1,1,1
Tenth Place Team,CROMU_00001,acaaf201_ff6a391da5a63068abe5678f16c722942fb9fe25bf4e779d11159fffa84b2d9d.ar,0,1,1,1,0,0,0.03,0,0,0,1
Seventh Place Team - Finalist,CROMU_00001,acaaf201_98ca2ce2728c2d7c66ae208afff5a95b5cd77f6a9f52d553d0b250a7a26f8d19.ar,0,0.164170553,0.164170553,1,-0.56,0,-0.23,0,0,1,1
Fourth Place Team - Finalist,CROMU_00001,acaaf201_d32c7e257e3124a6be51786b1228e490fd9bf7b8584dd5ef7504e30ce5268ffd.ar,0,0.888487048,1,0.888487048,0.13,0.05,0.08,0,0,0,1
Ninth Place Team,CROMU_00001,acaaf201_4d7d1130dfead92c417e9485da26a1f8fb3d003d87e06f1a2196d3ba5a206ce4.ar,0,1,1,1,-0.08,-0.86,0.09,0,0,1,2
Third Place Team - Finalist,CROMU_00002,e05e2901_e9e3f3aafd275056e21a3e3802fd22b953181f628fbc0ef116e34abfe5705165.ar,0.08,0.038061938,0.038061938,0.329385347,-0.96,0.03,0.42,2,1,1,1
Second Place Team - Finalist,CROMU_00002,e05e2901_afbe06077bd6a3d0d712ee6e4fa0cfc88dec01e1abac8c6c032667f1fea56490.ar,1.32,0.658730974,1,0.658730974,0.21,-0.01,0.01,2,1,1,1
Fifth Place Team - Finalist,CROMU_00002,e05e2901_387bc8e94ae4e8eef93d0eeba439fe46b68365f8d7ccee0572a2da23d8c596b1.ar,0.08,0.038061938,0.038061938,1,-0.91,0,-0.21,2,1,1,1
