    question_name     |             teamname              |                           submission                           |          creation          
----------------------+-----------------------------------+----------------------------------------------------------------+----------------------------
 one                  | sigint                            | SNC 52                                                         | 2014-01-17 16:01:37.499422
 one                  | National Swag Agency              | SNC 52                                                         | 2014-01-17 16:02:29.558853
 one                  | Delusions of Grandeur             | SNC 52                                                         | 2014-01-17 16:02:30.910834
 one                  | SpamAndHex Lite                   | SNC 52                                                         | 2014-01-17 16:03:08.149173
 one                  | acronym                           | SNC 52                                                         | 2014-01-17 16:03:31.505750
 one                  | HackingForSoju                    | SNC 52                                                         | 2014-01-17 16:03:33.386319
 one                  | Glimpses of Grandeur              | SNC 52                                                         | 2014-01-17 16:03:33.970652
 one                  | ECX Inc                           | SNC 52                                                         | 2014-01-17 16:03:45.462700
 one                  | Memory Fist                       | snc 52                                                         | 2014-01-17 16:03:48.988649
 one                  | pwnies                            | SNC 52                                                         | 2014-01-17 16:03:52.823370
 one                  | w3stormz                          | SNC 52                                                         | 2014-01-17 16:03:53.129360
 one                  | 0x8F                              | SNC 52                                                         | 2014-01-17 16:04:06.588702
 one                  | Big-Daddy                         | SNC 52                                                         | 2014-01-17 16:04:11.256438
 one                  | poc                               | SNC 52                                                         | 2014-01-17 16:04:15.370042
 one                  | penthackon                        | SNC 52                                                         | 2014-01-17 16:04:19.721577
 one                  | PPP                               | SNC 52                                                         | 2014-01-17 16:04:23.204402
 one                  | TO999                             | snc 52                                                         | 2014-01-17 16:04:25.751588
 one                  | tomcr00se                         | SNC 52                                                         | 2014-01-17 16:04:40.574975
 one                  | mztriz                            | snc 52                                                         | 2014-01-17 16:04:43.606943
 one                  | AutoBits                          | SNC 52                                                         | 2014-01-17 16:04:52.356619
 one                  | Cast Party                        | SNC 52                                                         | 2014-01-17 16:05:16.376341
 one                  | JollyJackson                      | SNC 52                                                         | 2014-01-17 16:05:17.662371
 one                  | tehcub                            | SNC 52                                                         | 2014-01-17 16:05:19.503597
 one                  | Kollegah der Boss                 | SNC 52                                                         | 2014-01-17 16:05:24.015306
 one                  | TRex                              | snc 52                                                         | 2014-01-17 16:06:16.330703
 one                  | 1338-offbyone                     | SNC 52                                                         | 2014-01-17 16:06:49.276222
 one                  | schmoos                           | snc 52                                                         | 2014-01-17 16:05:26.563279
 one                  | The Cat is #1!!                   | SNC 52                                                         | 2014-01-17 16:06:24.145212
 one                  | Robot Mafia                       | snc 52                                                         | 2014-01-17 16:07:01.132141
 one                  | weed and beer                     | snc 52                                                         | 2014-01-17 16:06:24.622855
 one                  | left my root shells in el segundo | SNC 52                                                         | 2014-01-17 16:07:04.698345
 one                  | catbug                            | SNC 52                                                         | 2014-01-17 16:07:04.780597
 DOS Attack           | Delusions of Grandeur             | LOADALL                                                        | 2014-01-17 16:07:11.746748
 one                  | bilibili                          | SNC 52                                                         | 2014-01-17 16:07:12.630250
